Balance of Payments and Direct Investment Position Data (Jun 21 2016  3:18:04:960PM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Direct Investment Abroad,U.S. Direct Investment Position Abroad on a Historical-Cost Basis ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By Country Only (All Countries)  (Millions of Dollars) <br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total,All Industries Total
    Costa Rica,142,169,164,123,127,161,196,213,251,417,274,298,607,921,1223,1529,2074,1493,1716,1835,1803,840,2687,1598,2105,2267,2414,2155,1827,1849,1034,998,955
    Guatemala,233,213,244,211,175,165,183,111,130,107,115,139,200,233,331,358,498,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Honduras,247,215,286,169,165,183,238,251,262,255,239,159,140,68,129,183,111,347,399,227,181,272,755,821,864,626,809,852,936,799,722,772,754
    Mexico,5019,4516,4829,5417,5060,5434,6312,8264,10313,12501,13730,15221,16968,16873,19351,24050,26657,37151,39352,52544,56303,56851,63384,73687,82965,91046,87443,84047,85751,85599,104388,102418,107825
    Panama,4413,4863,4460,4069,5227,6294,6489,8913,9289,10484,11038,12043,11905,15123,16335,22016,25924,33493,30758,5141,5842,5409,4919,4826,4636,6171,5963,6060,5156,5849,4709,4636,4687
    Other,119,75,88,110,90,188,208,94,169,175,182,233,262,273,298,413,771,1277,1618,970,1267,1274,1469,1563,1240,2362,4663,4013,4082,4130,3994,4209,4202
      Belize,3,-44,-32,7,-7,-7,10,11,(D),12,(D),(D),(D),35,43,57,59,59,103,37,52,54,78,80,(D),38,46,58,54,47,30,31,33
      El Salvador,96,102,96,77,55,54,61,67,90,83,83,105,146,150,175,219,555,621,540,464,664,645,851,934,626,1490,3163,2572,2599,2630,2697,2863,2810
      Guatemala,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,478,835,311,300,298,410,386,436,614,1188,1051,1110,1095,1049,1103,1158
      Nicaragua,20,18,24,27,42,141,136,16,(D),80,(D),(D),(D),88,80,137,156,119,140,157,250,278,131,163,(D),220,266,333,319,357,218,211,201
  Other Western Hemisphere,-1847,-3352,-2655,2201,8058,15801,19313,22493,28065,29131,36969,41180,48722,48714,60886,62761,68127,96690,108515,142086,159416,166319,209810,223775,246142,348956,389098,501586,518438,541200,566384,596235,639834
    Bahamas,3121,3720,3345,3796,2959,3766,4462,4577,4004,3864,4167,3138,2808,1768,1876,1569,-282,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Barbados,55,62,54,92,204,181,314,141,252,291,340,471,391,698,848,787,929,3030,2141,2240,1817,984,3249,3881,4831,2136,3154,5804,7524,11738,11242,12552,14682
    Bermuda,11519,11400,13322,13343,15717,19166,18916,18297,20169,22262,26736,28666,28355,28374,37091,38071,41908,50847,60114,84969,89473,84508,100856,113222,133480,211708,207547,287933,265524,277313,279555,256137,273792
    Dominican Republic,188,246,236,227,220,185,183,(D),529,661,779,1039,266,330,400,488,645,968,1143,1116,983,816,1028,815,789,712,806,1193,1432,1216,1088,1183,1224
    Jamaica,386,306,250,107,80,71,111,383,625,763,892,1049,1167,1287,1583,1952,1960,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Netherlands Antilles,-19756,-22169,-23891,-19878,-16074,-13137,-10078,-8378,-4501,-5072,-1989,-62,6739,6835,7597,4415,3897,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
    Trinidad and Tobago,931,862,663,476,412,381,400,(D),485,510,565,691,529,673,786,639,1004,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
"    United Kingdom Islands, Caribbean",1425,2050,3198,3865,4347,4961,4788,6123,5929,5397,5401,5544,7858,8358,10121,14044,17434,29762,33451,36443,48305,61882,82159,83164,84817,105829,134298,160627,191680,193688,218648,263096,287546
    Other,284,171,168,173,193,227,214,427,574,455,75,645,608,392,583,797,632,12083,11665,17317,18839,18129,22518,22693,22224,28572,43293,46029,52278,57244,55850,63267,62591
      Anguilla,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,8,6,(D),2,(*),-5,-5,-5,-5,-5,(*),(*),(D),-2,2,13
      Antigua and Barbuda,3,2,2,(D),3,5,3,3,3,4,5,5,1,1,1,1,2,(D),67,89,93,30,34,30,9,9,9,2,2,2,2,2,2
      Aruba,----,----,----,----,----,(D),(D),(D),(D),(D),(D),430,(D),183,(D),600,487,799,546,806,728,442,172,117,314,410,360,(*),287,628,187,158,239
      Bahamas,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,3740,3291,5533,7645,8643,11255,13451,13703,16567,23127,24951,28501,29785,28454,33637,32151
